names,description,url,id,image,public
Today's Top Hits,Justin Bieber is on top of the Hottest 50!,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M,37i9dQZF1DXcBWIGoYBM5M,https://i.scdn.co/image/ab67706f000000032fdcbc40ed017728a82793c7,True
"RapCaviar,\""Music from Moneybagg Yo, Lil Mosey and Tee Grizzley.\"",https://open.spotify.com/playlist/37i9dQZF1DX0XUsuxWHRQd,37i9dQZF1DX0XUsuxWHRQd,https://i.scdn.co/image/ab67706f00000003f1cf4be990a8fab7b4b04ed6,True"
"Hot Country,\""Today's top country hits of the week, worldwide! Cover: Mitchell Tenpenny\"",https://open.spotify.com/playlist/37i9dQZF1DX1lVhptIYRda,37i9dQZF1DX1lVhptIYRda,https://i.scdn.co/image/ab67706f00000003c3023e99592894d830a43fc6,True"
