Unnamed: 0,names,id,url,mean_valence,mean_danceability,mean_energy,mean_acousticness,mean_speechiness,mean_instrumentalness,med_valence,med_danceability,med_energy,med_acousticness,med_speechiness,med_instrumentalness,sd_valence,sd_danceability,sd_energy,sd_speechiness,sd_instrumentalness,quant1_danceability,quant1_energy,quant1_acousticness,quant1_speechiness,quant1_instrumentalness,quant3_danceability,quant3_energy,quant3_acousticness,quant3_speechiness,quant3_instrumentalness,mean_popularity,med_popularity,sd_popularity,quant1_popularity,quant3_popularity
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Today's Top Hits,37i9dQZF1DXcBWIGoYBM5M,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M,0.489742,0.6833,0.61632,0.2574648,0.092798,0.0051090136,0.503,0.701,0.6085,0.197,0.057,0.0,0.231929079668588,0.141219795397971,0.147979513198722,0.0832024516171371,0.0198632411966787,0.6185,0.52425,0.0241,0.0416,0.0,0.78025,0.71525,0.417,0.1061,9.1125e-05,84.6,89.0,18.4987589214156,84.0,92.0
3,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,https://open.spotify.com/playlist/37i9dQZF1DX0XUsuxWHRQd,0.489456,0.78572,0.60274,0.13156974,0.232856,0.0123723762,0.457,0.7875,0.6135,0.0756,0.2345,0.0,0.209205057261227,0.111000466996627,0.132238623213446,0.120731983757581,0.071418469442199,0.71925,0.535,0.0215,0.122,0.0,0.881,0.67625,0.196,0.324,0.0,77.26,78.5,13.9836785327081,75.0,83.0
4,Hot Country,37i9dQZF1DX1lVhptIYRda,https://open.spotify.com/playlist/37i9dQZF1DX1lVhptIYRda,0.539461538461538,0.590326923076923,0.694711538461538,0.203673307692308,0.0430269230769231,0.0001055,0.5425,0.5955,0.705,0.1445,0.03505,0.0,0.183874366906945,0.0905650499947026,0.131076588379146,0.0211800971630704,0.0006447816667618,0.54275,0.5815,0.0535,0.030875,0.0,0.63225,0.792,0.2705,0.0476,0.0,70.8653846153846,71.0,4.42377199601198,69.0,73.25
5,¡Viva Latino!,37i9dQZF1DX10zKzsJ2jva,https://open.spotify.com/playlist/37i9dQZF1DX10zKzsJ2jva,0.61808,0.75434,0.68276,0.2191428,0.127918,0.0176589592,0.6215,0.7725,0.686,0.1395,0.09175,8.49e-06,0.172845789473668,0.0953737246150048,0.126836800170735,0.0899766742788692,0.0942125330127546,0.71325,0.61725,0.064975,0.057675,0.0,0.81275,0.7735,0.383,0.18725,0.000441,82.0,82.5,7.15997947779524,76.0,87.0
6,New Music Friday,37i9dQZF1DX4JAvHpjipBk,https://open.spotify.com/playlist/37i9dQZF1DX4JAvHpjipBk,0.484911,0.66531,0.58304,0.251633126,0.123807,0.0110880229,0.4925,0.664,0.5955,0.1335,0.0646,2.24e-06,0.204907582467134,0.156737746286946,0.150442305462018,0.113879437626559,0.0426306946703988,0.5635,0.46925,0.057875,0.037325,0.0,0.773,0.686,0.40325,0.1765,0.00018825,18.72,17.0,16.8619348974205,1.0,30.0
7,Peaceful Piano,37i9dQZF1DX4sWSpwq3LiO,https://open.spotify.com/playlist/37i9dQZF1DX4sWSpwq3LiO,0.217142,0.36182,0.0424351,0.99005,0.04266,0.91577,0.1995,0.368,0.0306,0.993,0.04095,0.928,0.122048004448655,0.08500877910694,0.0371884737898476,0.0090983292949637,0.0527725929404323,0.29575,0.01435,0.989,0.035925,0.9025,0.4275,0.057125,0.994,0.0478,0.94425,62.39,64.0,5.72588487272994,61.0,66.0
8,Are & Be,37i9dQZF1DX4SBhb3fqCJd,https://open.spotify.com/playlist/37i9dQZF1DX4SBhb3fqCJd,0.414098,0.61634,0.55448,0.2992852,0.121726,0.0064187216,0.4065,0.6165,0.544,0.2335,0.07635,1.155e-06,0.17954826136497,0.111981159129561,0.132519423297192,0.105474259960835,0.0210508540306633,0.5255,0.45525,0.12375,0.0504,0.0,0.7165,0.64225,0.39125,0.15375,0.000287,64.8,66.0,19.8997487421324,63.0,74.0
9,Rock Classics,37i9dQZF1DWXRqgorJj26U,https://open.spotify.com/playlist/37i9dQZF1DWXRqgorJj26U,0.62309,0.5584,0.70597,0.203308785,0.064091,0.0440604556,0.656,0.5515,0.7215,0.125,0.0445,0.0007275,0.202488363302011,0.133454339030474,0.177917666521923,0.0598512079234746,0.12112554105844,0.46525,0.56625,0.018975,0.033475,5.38e-05,0.65325,0.86425,0.3675,0.067125,0.0173,74.78,75.0,4.75793860805074,71.0,78.0
10,mint,37i9dQZF1DX4dyzvuaRJ0n,https://open.spotify.com/playlist/37i9dQZF1DX4dyzvuaRJ0n,0.474196629213483,0.692483146067416,0.78814606741573,0.0816529101123595,0.0704426966292135,0.117333609775281,0.464,0.689,0.82,0.0448,0.0451,0.000968,0.187755426292145,0.0983924323077966,0.126227117688874,0.0699084415627789,0.240519138090025,0.636,0.716,0.0121,0.0379,6.28e-06,0.759,0.877,0.0821,0.0729,0.104,64.4606741573034,65.0,12.9501282722458,60.0,70.0
11,Rock This,37i9dQZF1DXcF6B6QPhFDv,https://open.spotify.com/playlist/37i9dQZF1DXcF6B6QPhFDv,0.44384,0.47798,0.83522,0.0181481828,0.071544,0.0339602798,0.411,0.492,0.847,0.00129,0.05635,3.435e-05,0.149149063910258,0.0986112735203543,0.102897271933849,0.0504538470044755,0.138357169989499,0.3995,0.78425,0.00026025,0.0387,0.0,0.53825,0.90675,0.010785,0.09565,0.001041,60.0,61.5,11.0509026318936,56.25,66.0
12,New Music Friday,37i9dQZF1DWXJfnUiYjUKT,https://open.spotify.com/playlist/37i9dQZF1DWXJfnUiYjUKT,0.464369696969697,0.663727272727273,0.587474747474747,0.257837561616162,0.115088888888889,0.0101731305050505,0.461,0.664,0.596,0.137,0.0614,0.0,0.199970490912088,0.149748893095416,0.141981843006625,0.110194656051109,0.0423350650621823,0.565,0.4675,0.0671,0.03605,0.0,0.768,0.6825,0.434,0.1575,0.0001245,19.4040404040404,18.0,16.559058925197,4.5,30.0
13,just hits,37i9dQZF1DXcRXFNfZr7Tp,https://open.spotify.com/playlist/37i9dQZF1DXcRXFNfZr7Tp,0.496286,0.66749,0.676,0.1572214,0.085874,0.0095776419,0.4885,0.675,0.675,0.0718,0.0514,0.0,0.206583739481552,0.120700271145286,0.129561965986562,0.0713998240384896,0.050364684926195,0.586,0.59475,0.021125,0.0396,0.0,0.7495,0.784,0.229,0.10925,8.07e-06,76.72,80.0,16.5627548579591,73.0,84.0
14,All Out 00s,37i9dQZF1DX4o1oenSJRJd,https://open.spotify.com/playlist/37i9dQZF1DX4o1oenSJRJd,0.44365,0.59243,0.59679,0.27349764,0.056877,0.0152831418,0.404,0.597,0.6055,0.2065,0.0355,0.0,0.214887777383189,0.133237863927032,0.190934083236635,0.0577249956450602,0.0833564689006618,0.50625,0.46925,0.04925,0.029425,0.0,0.6775,0.7415,0.36125,0.052475,4.14e-05,70.38,71.5,8.27772964530783,66.0,76.0
15,All Out 90s,37i9dQZF1DXbTxeAdrVG2l,https://open.spotify.com/playlist/37i9dQZF1DXbTxeAdrVG2l,0.416291,0.57959,0.543074,0.29839699,0.04311,0.0270503605,0.4215,0.589,0.5335,0.238,0.0305,1.08e-05,0.208666423223307,0.118297356460128,0.184669330808919,0.0390761171214967,0.112465420970299,0.514,0.433,0.077375,0.02765,0.0,0.66675,0.6715,0.47325,0.036475,0.0010875,66.55,68.0,7.55902698029904,61.75,72.0
16,All Out 80s,37i9dQZF1DX4UtSsGT1Sbe,https://open.spotify.com/playlist/37i9dQZF1DX4UtSsGT1Sbe,0.49959,0.60071,0.53231,0.339610196,0.036117,0.0298709305,0.489,0.596,0.518,0.309,0.0309,0.0001315,0.254493598776436,0.123719240233847,0.188985312614072,0.0178319940307053,0.126591100683235,0.52,0.42175,0.11475,0.027575,8.1e-07,0.67575,0.65775,0.577,0.038675,0.0033075,68.56,69.0,7.30755800800815,65.0,73.0
17,All Out 70s,37i9dQZF1DWTJ7xPn4vNaz,https://open.spotify.com/playlist/37i9dQZF1DWTJ7xPn4vNaz,0.528761,0.52205,0.455718,0.49064931,0.038799,0.0410817473,0.49,0.502,0.427,0.475,0.0334,0.000496,0.25498649078694,0.141736444491068,0.197077549408369,0.0153503956123139,0.114073013765363,0.42275,0.318,0.23475,0.030325,2.9575e-06,0.635,0.587,0.78575,0.041725,0.0092075,67.49,68.0,7.7687472827628,62.75,73.0
18,All Out 60s,37i9dQZF1DXaKIA8E7WcJj,https://open.spotify.com/playlist/37i9dQZF1DXaKIA8E7WcJj,0.506795,0.50109,0.381162,0.634856,0.037682,0.0155327735,0.51,0.5125,0.3835,0.699,0.0344,4.12e-06,0.202708803621492,0.14206977194678,0.180575132117891,0.0117402904649766,0.093604308923587,0.4005,0.2565,0.503,0.030075,0.0,0.61325,0.47525,0.8105,0.039225,0.0003975,60.98,61.0,8.37261046870127,56.75,67.0
19,All Out 50s,37i9dQZF1DWSV3Tk4GO2fq,https://open.spotify.com/playlist/37i9dQZF1DWSV3Tk4GO2fq,0.517755,0.48798,0.3272896,0.767902,0.047251,0.0207800411,0.4855,0.5035,0.2775,0.836,0.03595,2.93e-06,0.261580264590493,0.141562063342471,0.213808919855883,0.0314842609228577,0.120299741496583,0.3855,0.14325,0.70325,0.0315,0.0,0.573,0.46375,0.916,0.0474,0.0001695,54.3,55.0,8.26150865475097,48.75,60.25
20,Soft Pop Hits,37i9dQZF1DWTwnEm1IYyoj,https://open.spotify.com/playlist/37i9dQZF1DWTwnEm1IYyoj,0.412366,0.60757,0.549258,0.363763,0.059463,0.009773578,0.431,0.6155,0.5475,0.2845,0.04065,0.0,0.190055103769109,0.127159905297037,0.17184215753729,0.0606033930026557,0.0652262630781698,0.552,0.417,0.124,0.032125,0.0,0.681,0.687,0.6165,0.05765,1.395e-05,75.35,76.0,8.0771219496736,72.0,81.25
21,Signed XOXO,37i9dQZF1DX2A29LI7xHn1,https://open.spotify.com/playlist/37i9dQZF1DX2A29LI7xHn1,0.507608,0.73499,0.60248,0.2025128,0.191867,0.0008285607,0.4965,0.757,0.61,0.1535,0.161,0.0,0.212430753390037,0.12797896725871,0.125759388668933,0.124648494912046,0.0043903121342222,0.6455,0.51325,0.0455,0.0834,0.0,0.834,0.69775,0.3195,0.28175,0.0,62.56,61.0,15.4156682723399,54.75,73.0
22,Most Necessary,37i9dQZF1DX2RxBh64BHjQ,https://open.spotify.com/playlist/37i9dQZF1DX2RxBh64BHjQ,0.53452,0.75661,0.59591,0.17999582,0.273043,0.0064451084,0.529,0.7695,0.599,0.119,0.279,0.0,0.204692747326525,0.115031299649225,0.124585948183768,0.121649813075122,0.0506335365491942,0.6915,0.509,0.038825,0.197,0.0,0.83775,0.68525,0.264,0.36375,0.0,50.0,53.0,21.8474971407054,46.0,65.0
23,Gold School,37i9dQZF1DWVA1Gq4XHa6U,https://open.spotify.com/playlist/37i9dQZF1DWVA1Gq4XHa6U,0.622702127659574,0.791723404255319,0.667276595744681,0.078682914893617,0.2685,0.0002374542553191,0.608,0.816,0.674,0.0393,0.279,0.0,0.166654539182577,0.0924663751170638,0.133765157959056,0.113846458385654,0.0009990810024255,0.722,0.5885,0.0149,0.1955,0.0,0.8685,0.746,0.0968,0.334,7.135e-06,55.1489361702128,55.0,9.99560495462284,46.0,63.5
24,Get Turnt,37i9dQZF1DWY4xHQp97fN6,https://open.spotify.com/playlist/37i9dQZF1DWY4xHQp97fN6,0.485428,0.79971,0.62821,0.10471827,0.24402,0.0064822811,0.4945,0.811,0.6245,0.0584,0.2635,0.0,0.21180764862526,0.106090231749805,0.106541526498764,0.121636862268912,0.0506233994281766,0.7365,0.55175,0.01605,0.136,0.0,0.87875,0.71875,0.14,0.342,0.0,67.1,68.0,16.4448880639043,60.0,79.0
25,B.A.E.,37i9dQZF1DWX3387IZmjNa,https://open.spotify.com/playlist/37i9dQZF1DWX3387IZmjNa,0.466464,0.68116,0.57956,0.268496,0.21229,0.0002014928,0.4965,0.7065,0.5785,0.2345,0.214,0.0,0.176173548200955,0.12803337575071,0.115378907279008,0.128485444661237,0.0008358189060913,0.581,0.49525,0.045775,0.09535,0.0,0.76775,0.66675,0.396,0.30225,1.2875e-06,61.44,61.0,15.7611767922814,56.0,68.75
26,African Heat,37i9dQZF1DWYkaDif7Ztbp,https://open.spotify.com/playlist/37i9dQZF1DWYkaDif7Ztbp,0.61125,0.7397625,0.679275,0.27739225,0.12448875,0.0561613045,0.6085,0.766,0.6925,0.2245,0.1045,0.000182,0.180077514955102,0.120038627090078,0.128064557987986,0.0818631661561002,0.157697877439242,0.66625,0.5875,0.0893,0.063875,1.155e-06,0.83925,0.78825,0.4345,0.15875,0.006825,51.575,52.0,8.27498135681865,47.0,56.0
27,Mind Right,37i9dQZF1DX5hR0J49CmXC,https://open.spotify.com/playlist/37i9dQZF1DX5hR0J49CmXC,0.53856,0.61578,0.69802,0.30518,0.3545,4.43626e-05,0.5415,0.617,0.711,0.283,0.363,0.0,0.19359859166295,0.127118503285521,0.123701003905979,0.155018002904468,0.0002691948275029,0.53825,0.6045,0.11875,0.27175,0.0,0.70775,0.79925,0.44375,0.433,0.0,46.58,47.5,15.2142387658565,44.0,55.75
28,Dancehall Official,37i9dQZF1DXan38dNVDdl4,https://open.spotify.com/playlist/37i9dQZF1DXan38dNVDdl4,0.534022,0.698,0.66858,0.240622,0.26604,0.0005857586,0.548,0.691,0.672,0.1565,0.257,0.0,0.20225064192527,0.121645184945431,0.0992915907818985,0.124176342681014,0.0025505141483814,0.60075,0.61375,0.1004,0.177,0.0,0.814,0.72525,0.40425,0.35675,3.5e-06,48.02,47.0,7.70499440463847,43.0,53.0
29,Westside Story,37i9dQZF1DWSvKsRPPnv5o,https://open.spotify.com/playlist/37i9dQZF1DWSvKsRPPnv5o,0.47214693877551,0.727469387755102,0.576285714285714,0.215116726530612,0.259573469387755,0.002118557755102,0.476,0.741,0.586,0.127,0.26,0.0,0.192046182707486,0.132211809552074,0.123927061881845,0.13720010291467,0.0142525459617031,0.613,0.491,0.057,0.131,0.0,0.844,0.645,0.305,0.369,2.89e-06,51.530612244898,52.0,14.6018007462783,47.0,60.0
30,Power Workout,37i9dQZF1DWUVpAXiEPK8P,https://open.spotify.com/playlist/37i9dQZF1DWUVpAXiEPK8P,0.52938,0.74158,0.63992,0.1565932,0.218792,0.0152220096,0.5345,0.7565,0.6415,0.09365,0.199,5.2e-07,0.232001889506732,0.123580609072684,0.115264352773996,0.130269386257548,0.0590971317847682,0.65225,0.56975,0.03685,0.095225,0.0,0.8325,0.718,0.2035,0.341,8.2475e-05,61.04,63.5,17.5777688909507,45.0,74.0
31,No Cap,37i9dQZF1DX0Tkc6ltcBfU,https://open.spotify.com/playlist/37i9dQZF1DX0Tkc6ltcBfU,0.49776,0.79018,0.62964,0.11015344,0.264866,0.0025674574,0.4595,0.799,0.6215,0.06765,0.268,0.0,0.203061924806504,0.109006962893127,0.103939299397214,0.0775249732245641,0.0144973245789766,0.734,0.5675,0.02205,0.22425,0.0,0.87625,0.70025,0.15625,0.31475,0.0,58.96,61.5,20.7737668167115,49.5,75.0
32,State of Mind,37i9dQZF1DX1YPTAhwehsC,https://open.spotify.com/playlist/37i9dQZF1DX1YPTAhwehsC,0.509549019607843,0.718588235294118,0.624470588235294,0.242418843137255,0.267972549019608,0.0111858841176471,0.488,0.734,0.621,0.152,0.286,0.0,0.191407974099878,0.1382952170497,0.110646527815594,0.116080815087475,0.0696601859176202,0.634,0.5415,0.0579,0.181,0.0,0.83,0.6925,0.4345,0.3725,4.915e-06,45.4117647058824,52.0,26.5059815668752,35.0,64.0
33,Alternative Hip Hop,37i9dQZF1DWTggY0yqBxES,https://open.spotify.com/playlist/37i9dQZF1DWTggY0yqBxES,0.48002,0.69836,0.56926,0.2687266,0.153222,0.0048586384,0.483,0.7185,0.547,0.2495,0.102,1.46e-06,0.197724141992147,0.114594717974936,0.106904460493795,0.122512258928464,0.0196655789902821,0.63775,0.473,0.13625,0.056475,0.0,0.7615,0.6585,0.38025,0.217,0.0004815,51.66,51.5,11.2315335969215,47.0,57.75
34,Workout Twerkout,37i9dQZF1DX0HRj9P7NxeE,https://open.spotify.com/playlist/37i9dQZF1DX0HRj9P7NxeE,0.549266,0.89152,0.62112,0.06464104,0.245148,0.0031818688,0.598,0.908,0.628,0.0264,0.2485,0.0,0.235412930834484,0.063228526241027,0.130328883825435,0.113091321668529,0.0179800474596681,0.8695,0.532,0.0075525,0.1685,0.0,0.9345,0.72075,0.07485,0.3295,3.7975e-06,61.96,62.0,17.9636367392006,53.25,72.75
35,We Everywhere,37i9dQZF1DWT6SJaitNDax,https://open.spotify.com/playlist/37i9dQZF1DWT6SJaitNDax,0.568888888888889,0.698282828282828,0.632757575757576,0.238452222222222,0.155281818181818,0.0185160107070707,0.558,0.707,0.646,0.2,0.121,4.01e-05,0.160861956848093,0.112776557160522,0.130731465764757,0.106493671713524,0.0724783312210104,0.6175,0.5465,0.08705,0.0709,0.0,0.7885,0.727,0.3325,0.228,0.0006475,49.5151515151515,50.0,12.0596845969888,42.0,58.0
36,Black History Salute,37i9dQZF1DX2r0FByV5U4C,https://open.spotify.com/playlist/37i9dQZF1DX2r0FByV5U4C,0.4905,0.663769230769231,0.247823076923077,0.749357692307692,0.632757692307692,0.0336957465384615,0.436,0.6805,0.119,0.816,0.73,0.0,0.180644678858803,0.0903346257831659,0.235601205952249,0.291138438785505,0.125799795961093,0.5825,0.063925,0.63875,0.38275,0.0,0.713,0.45875,0.9305,0.8695,0.0,16.8461538461538,14.5,9.88612080724207,12.0,17.75
37,Behind The Lyrics: Hip Hop,37i9dQZF1DXaKctwWdt4be,https://open.spotify.com/playlist/37i9dQZF1DXaKctwWdt4be,0.487734,0.7572,0.58898,0.2377018,0.220296,0.0003045842,0.4845,0.769,0.592,0.141,0.2285,0.0,0.211194878194312,0.114894272605518,0.155358898512247,0.129152761883131,0.0013712101791261,0.692,0.461,0.045325,0.11175,0.0,0.8335,0.6935,0.3835,0.3055,0.0,61.76,61.0,14.7807928317358,51.25,75.5
38,New Noise,37i9dQZF1DWT2jS7NwYPVI,https://open.spotify.com/playlist/37i9dQZF1DWT2jS7NwYPVI,0.441151515151515,0.512363636363636,0.808222222222222,0.0347940992929293,0.0646757575757576,0.0723523534343434,0.431,0.527,0.837,0.0037,0.0464,7.38e-05,0.19767161872591,0.124893052579238,0.121531347728582,0.0446088077944097,0.203054292342517,0.438,0.7325,0.000227,0.03695,0.0,0.593,0.8955,0.0292,0.07135,0.0138,38.979797979798,43.0,17.5899900789961,35.0,51.0
39,The New Alt,37i9dQZF1DX82GYcclJ3Ug,https://open.spotify.com/playlist/37i9dQZF1DX82GYcclJ3Ug,0.528636363636364,0.553565656565657,0.738949494949495,0.0666534606060606,0.0619222222222222,0.0181578824242424,0.518,0.553,0.773,0.012,0.0483,1.6e-06,0.203627183068963,0.127573361176864,0.150716748371036,0.0468383794216674,0.0622124379084177,0.4725,0.637,0.002865,0.0358,0.0,0.642,0.86,0.07255,0.0663,0.000579,52.5555555555556,52.0,14.43721256254,45.5,61.0
40,Rock Solid,37i9dQZF1DX49jUV2NfGku,https://open.spotify.com/playlist/37i9dQZF1DX49jUV2NfGku,0.48426625,0.495425,0.812125,0.0220841625,0.06250375,0.05619233625,0.476,0.509,0.8645,0.005655,0.0531,0.000625,0.212969151473706,0.13767773553033,0.154362500775187,0.0418519707315429,0.14804935682776,0.392,0.7515,0.00047475,0.038,8.705e-06,0.5875,0.91625,0.016525,0.070725,0.01555,71.95,74.0,7.87063119724447,67.0,78.0
41,Rock This: Best of 2017,37i9dQZF1DX1Jg9KZ76Rr9,https://open.spotify.com/playlist/37i9dQZF1DX1Jg9KZ76Rr9,0.473244,0.50569,0.80248,0.0527858216,0.060804,0.0365700559,0.4855,0.513,0.8445,0.00935,0.0464,3.875e-05,0.20161102178465,0.12402612098614,0.152282531148288,0.0442018348721024,0.13830364712044,0.44175,0.7345,0.000819,0.036625,0.0,0.593,0.90825,0.051975,0.067825,0.0008855,55.75,59.0,11.7811482693944,48.0,63.0
42,Rock Party,37i9dQZF1DX8FwnYE6PRvL,https://open.spotify.com/playlist/37i9dQZF1DX8FwnYE6PRvL,0.61402,0.55938,0.81244,0.051558688,0.072634,0.031524846,0.6645,0.6025,0.8315,0.00775,0.0549,0.000531,0.219721669019545,0.14058157483708,0.104847636782025,0.0693080512153192,0.0897379063468126,0.46325,0.7495,0.00109,0.039425,2.945e-06,0.6405,0.893,0.060825,0.076125,0.015925,68.92,71.0,10.4018051808524,65.0,75.75
43,You & Me,37i9dQZF1DX6mvEU1S6INL,https://open.spotify.com/playlist/37i9dQZF1DX6mvEU1S6INL,0.314869,0.52026,0.5737,0.277807049,0.041089,0.0724114804,0.2725,0.525,0.5745,0.1975,0.03345,0.0007415,0.191952374509403,0.138762031601377,0.18457724013474,0.021832858634673,0.186644255568805,0.444,0.44425,0.04365,0.0294,3.0325e-05,0.59275,0.7105,0.44,0.042,0.014675,53.13,52.0,9.44484788205461,46.0,58.0
44,It's ALT Good!,37i9dQZF1DX2SK4ytI2KAZ,https://open.spotify.com/playlist/37i9dQZF1DX2SK4ytI2KAZ,0.57736,0.57688,0.7609,0.07721692,0.056417,0.0149884932,0.572,0.5665,0.7865,0.02495,0.04395,4.505e-06,0.200469374471539,0.113223233508236,0.126710478866373,0.034395269392253,0.0837570823976609,0.49,0.6785,0.00533,0.03435,0.0,0.672,0.855,0.0929,0.0622,0.00020625,50.83,49.0,10.8096991613826,44.75,58.0
45,The Scene,37i9dQZF1DWZkHEX2YHpDV,https://open.spotify.com/playlist/37i9dQZF1DWZkHEX2YHpDV,0.44491,0.52189,0.79512,0.0463981625,0.062022,0.0172096884,0.4405,0.52,0.823,0.004755,0.04525,0.0,0.148164397841988,0.110494471272631,0.134846510574584,0.0412539207319447,0.0878674960343213,0.4535,0.7065,0.00078725,0.036275,0.0,0.591,0.9005,0.037,0.0731,2.5575e-05,45.5,47.0,16.8561950965013,36.75,59.0
46,Rock Hard,37i9dQZF1DWWJOmJ7nRx0C,https://open.spotify.com/playlist/37i9dQZF1DWWJOmJ7nRx0C,0.39886,0.4627,0.87743,0.0125569322,0.090148,0.0344354234,0.3975,0.477,0.91,0.0004395,0.07475,8.135e-05,0.170294339366293,0.114047792569164,0.107199639585554,0.0639586316427749,0.104221977586569,0.40075,0.8195,9.715e-05,0.045175,0.0,0.53125,0.95,0.003085,0.10575,0.012975,49.54,51.5,14.0435254142472,43.0,59.0
47,This Is Ryan Adams,37i9dQZF1DXdXKIWnpyigm,https://open.spotify.com/playlist/37i9dQZF1DXdXKIWnpyigm,0.412878947368421,0.499543859649123,0.444810526315789,0.356013014035088,0.0367491228070175,0.0522463252631579,0.377,0.503,0.422,0.269,0.0337,0.000412,0.208629569826559,0.100869093060447,0.26933756679531,0.0118091085124851,0.118056997642283,0.429,0.22,0.058,0.0306,2.8e-05,0.585,0.695,0.626,0.0381,0.00705,31.859649122807,29.0,11.64111954068,24.0,37.0
48,This Is The Black Keys,37i9dQZF1DX2rBR3X9E86S,https://open.spotify.com/playlist/37i9dQZF1DX2rBR3X9E86S,0.53778,0.51454,0.70386,0.24852374,0.060318,0.1169312784,0.5365,0.5145,0.742,0.07865,0.0417,0.006105,0.181548811674459,0.130820832454474,0.148608513228824,0.0501799077198784,0.234638354334199,0.41525,0.62675,0.020075,0.03315,0.0002555,0.60075,0.81975,0.49525,0.06135,0.09645,50.9,49.0,6.78308219629046,47.0,53.0
49,This Is Tom Petty,37i9dQZF1DWUlZhYdX0uqM,https://open.spotify.com/playlist/37i9dQZF1DWUlZhYdX0uqM,0.571618421052632,0.565644736842105,0.601157894736842,0.185507960526316,0.0312697368421053,0.0254276678947368,0.5925,0.5725,0.626,0.05705,0.0296,0.0001175,0.21430221446081,0.115162343839453,0.206056500512623,0.006826126666211,0.103484499917607,0.5015,0.445,0.010925,0.026675,2.65e-06,0.63275,0.75625,0.2215,0.033525,0.0017475,46.2894736842105,44.0,11.001594780726,40.0,48.0
50,This Is Nirvana,37i9dQZF1DX82CY3GzF2m6,https://open.spotify.com/playlist/37i9dQZF1DX82CY3GzF2m6,0.430933333333333,0.409644444444444,0.759955555555556,0.113842549333333,0.06668,0.0858111284444444,0.419,0.411,0.824,0.00016,0.0557,0.000498,0.212855247442097,0.128625099267663,0.198938884580114,0.0357948993319135,0.183990086810849,0.31,0.641,1.16e-05,0.0388,7.53e-05,0.479,0.929,0.0449,0.0832,0.0461,60.4222222222222,60.0,7.57834501268668,55.0,64.0
51,This Is Ramones,37i9dQZF1DWWc7UGhP4Mpw,https://open.spotify.com/playlist/37i9dQZF1DWWc7UGhP4Mpw,0.723647058823529,0.426,0.888205882352941,0.0619296335294118,0.06805,0.126328544117647,0.7705,0.426,0.8875,0.002225,0.05345,0.0003685,0.216606315466974,0.138034470881426,0.0817512040173646,0.0479629544544537,0.280761334639488,0.32425,0.85775,0.00079525,0.038575,2.2175e-05,0.49775,0.9565,0.060925,0.073875,0.01084,48.3823529411765,46.0,7.2405202637545,43.25,51.75
52,This Is Green Day,37i9dQZF1DWVPJN9etkrEa,https://open.spotify.com/playlist/37i9dQZF1DWVPJN9etkrEa,0.68448,0.46528,0.8589,0.032037018,0.061394,0.0050741516,0.7015,0.459,0.924,0.00104,0.0464,1.485e-05,0.17752450132708,0.140194331598125,0.172319026630188,0.0475202874398645,0.0251643835774398,0.3725,0.83675,0.0001435,0.0355,0.0,0.5395,0.9595,0.0077675,0.07215,0.0002625,60.12,57.0,8.20562276112905,54.25,62.75
53,This Is Metallica,37i9dQZF1DXbj9Ksq4BAdj,https://open.spotify.com/playlist/37i9dQZF1DXbj9Ksq4BAdj,0.405466666666667,0.420833333333333,0.876466666666667,0.0026694261666666,0.0806366666666667,0.166436806,0.4235,0.4315,0.922,0.000253,0.05865,0.04265,0.157926872872039,0.140510107805383,0.115211738259469,0.0672452706841049,0.231080263127656,0.3,0.827,7.17e-05,0.038,0.0035875,0.537,0.95225,0.00112,0.098575,0.32475,58.3833333333333,57.0,7.78327556566472,52.0,63.25
54,This Is Jane's Addiction,37i9dQZF1DXcGV9sg8bMdx,https://open.spotify.com/playlist/37i9dQZF1DXcGV9sg8bMdx,0.364221212121212,0.419727272727273,0.794674242424242,0.0926893772727273,0.0698242424242424,0.0857319028787879,0.3165,0.4295,0.87,0.0101,0.0611,0.00172,0.196674475693409,0.10764264889039,0.196480503875737,0.0371964351501429,0.218079523996684,0.333,0.70475,0.0011425,0.039825,2.48e-05,0.5055,0.9305,0.06895,0.090925,0.03035,31.2424242424242,29.0,10.2702866502736,25.0,35.75
55,This Is Oasis,37i9dQZF1DWXupFIUw7TOC,https://open.spotify.com/playlist/37i9dQZF1DWXupFIUw7TOC,0.271186538461538,0.3313,0.802057692307692,0.100798368653846,0.052225,0.108124740576923,0.2295,0.3325,0.859,0.01345,0.0426,0.0008495,0.163807649069465,0.11256891745269,0.168467651338503,0.0255298969299702,0.255495036952712,0.28025,0.6585,0.00019075,0.0331,9.6875e-06,0.40575,0.93575,0.10355,0.06875,0.02245,53.4807692307692,52.0,8.45864306694263,48.0,57.25
56,This Is KISS,37i9dQZF1DX5L9gRaHajqj,https://open.spotify.com/playlist/37i9dQZF1DX5L9gRaHajqj,0.536578,0.5307,0.81364,0.176342008,0.070932,0.0255477762,0.494,0.534,0.8675,0.0877,0.05875,1.91e-05,0.236754255863306,0.120226868877136,0.154245201030101,0.0422115248795049,0.111617869371105,0.441,0.742,0.024925,0.036125,2.1825e-06,0.59075,0.90975,0.245,0.09105,0.0011225,49.22,47.0,9.86498652729305,41.0,54.0
