Unnamed: 0,names,id,url,mean_valence,mean_danceability,mean_energy,mean_acousticness,mean_speechiness,mean_instrumentalness,med_valence,med_danceability,med_energy,med_acousticness,med_speechiness,med_instrumentalness,sd_valence,sd_danceability,sd_energy,sd_speechiness,sd_instrumentalness,quant1_danceability,quant1_energy,quant1_acousticness,quant1_speechiness,quant1_instrumentalness,quant3_danceability,quant3_energy,quant3_acousticness,quant3_speechiness,quant3_instrumentalness,mean_popularity,med_popularity,sd_popularity,quant1_popularity,quant3_popularity
875,Women's Lit,37i9dQZF1DX5nERjWj1zmg,https://open.spotify.com/playlist/37i9dQZF1DX5nERjWj1zmg,0.353384615384615,0.637871794871795,0.194079487179487,0.550615384615385,0.846051282051282,0.0005443135897435,0.344,0.665,0.156,0.613,0.935,0.0,0.158885529032799,0.119903289864698,0.120059724566101,0.184702171177782,0.0031680626099254,0.6275,0.123,0.281,0.789,0.0,0.694,0.2615,0.774,0.951,6.05e-07,2.15384615384615,0.0,4.31971284095831,0.0,1.5
876,Learn Spanish,37i9dQZF1DXc6li3e9oatQ,https://open.spotify.com/playlist/37i9dQZF1DXc6li3e9oatQ,0.36938,0.60521,0.1050415,0.5626981,0.545537,0.001369785,0.35,0.6195,0.0641,0.758,0.493,7.89e-05,0.164628248493447,0.113325961881484,0.103488378690508,0.257284275687733,0.0047947225592181,0.5805,0.03655,0.1185,0.37425,2.6775e-06,0.67225,0.148,0.89225,0.80125,0.00063675,3.3,3.0,4.05890964111638,0.0,5.0
877,How to Write...,37i9dQZF1DX0IquWoRS2Rk,https://open.spotify.com/playlist/37i9dQZF1DX0IquWoRS2Rk,0.60504,0.67337,0.206575,0.81658,0.91914,1.821e-07,0.6085,0.69,0.155,0.8835,0.9335,0.0,0.151208326423507,0.0785046682006422,0.131320461894258,0.0961096827125712,1.00850453843322e-06,0.63775,0.12175,0.746,0.921,0.0,0.71225,0.2105,0.91325,0.944,0.0,0.01,0.0,0.1,0.0,0.0
878,Music Lessons with Pete Seeger,37i9dQZF1DX1uHtdQ6c5H9,https://open.spotify.com/playlist/37i9dQZF1DX1uHtdQ6c5H9,0.366969230769231,0.640476923076923,0.142678461538462,0.860046153846154,0.445961538461538,0.041026592,0.345,0.673,0.126,0.868,0.474,0.0,0.186370595959936,0.127567642313341,0.0717280530291054,0.257780739978467,0.157985153031583,0.611,0.0953,0.812,0.216,0.0,0.708,0.188,0.923,0.65,0.000138,0.338461538461538,0.0,0.566704372802828,0.0,1.0
879,Yoga Acoustics,37i9dQZF1DWUPAFOWtSz6P,https://open.spotify.com/playlist/37i9dQZF1DWUPAFOWtSz6P,0.269434693877551,0.502040816326531,0.284212244897959,0.763238775510204,0.0354959183673469,0.123318268979592,0.234,0.516,0.253,0.842,0.0331,0.00377,0.151312801770345,0.0955505885172163,0.158171214765115,0.0081234475230571,0.254141459600405,0.435,0.168,0.739,0.0302,4.03e-05,0.554,0.334,0.906,0.0377,0.0275,48.6530612244898,50.0,10.8042256787336,40.0,58.0
880,Beyond the Music,01WIu4Rst0xeZnTunWxUL7,https://open.spotify.com/playlist/01WIu4Rst0xeZnTunWxUL7,0.594969230769231,0.563430769230769,0.390244615384615,0.767856196461538,0.572778461538462,0.0719411124615385,0.622,0.578,0.34,0.894,0.674,4.19e-05,0.169867868616939,0.114315212410517,0.204339657518102,0.354395347075616,0.161771992853087,0.51,0.255,0.706,0.254,0.0,0.637,0.484,0.969,0.919,0.0304,12.3230769230769,0.0,24.3073469425319,0.0,2.0
881,Irish Studies,37i9dQZF1DX3HTCmWbhewZ,https://open.spotify.com/playlist/37i9dQZF1DX3HTCmWbhewZ,0.381959183673469,0.682102040816327,0.103959081632653,0.695332653061224,0.749026530612245,9.42762244897959e-05,0.3605,0.69,0.0975,0.7575,0.887,0.0,0.163555023583909,0.0588407758532179,0.0709940209779093,0.242198032439853,0.0007778924927649,0.63925,0.05,0.52725,0.56475,0.0,0.72175,0.15125,0.88625,0.93775,0.0,0.295918367346939,0.0,0.54126967331155,0.0,1.0
882,Learn Swedish,37i9dQZF1DX1QCg8MO15wF,https://open.spotify.com/playlist/37i9dQZF1DX1QCg8MO15wF,0.1108,0.189847058823529,0.107698352941176,0.414452,0.236247058823529,0.0014061371764705,0.0,0.0,0.0927,0.382,0.0,0.0,0.177341800728746,0.296630702978602,0.0832056216170727,0.373238909377612,0.0094994529741322,0.0,0.0357,0.112,0.0,0.0,0.59,0.15,0.703,0.696,5.78e-06,0.458823529411765,0.0,1.39346212531158,0.0,0.0
883,Learn French,37i9dQZF1DWTJSgpZmw7H2,https://open.spotify.com/playlist/37i9dQZF1DWTJSgpZmw7H2,0.306375757575758,0.597636363636364,0.06524,0.61402795959596,0.593953535353535,0.0002493427272727,0.293,0.605,0.0412,0.815,0.618,1.82e-06,0.13360016580928,0.0842243668442536,0.0822030083242154,0.250604006805896,0.0012644464925242,0.5505,0.02405,0.27,0.412,0.0,0.661,0.07205,0.908,0.8415,2.89e-05,2.76767676767677,2.0,2.83861234720771,1.0,4.0
884,Learn German,37i9dQZF1DWVrSKB2Pc3PY,https://open.spotify.com/playlist/37i9dQZF1DWVrSKB2Pc3PY,0.293031,0.5996,0.1420659,0.36740255,0.71282,0.0009098293,0.2915,0.5995,0.1105,0.0686,0.863,1.185e-05,0.115290972860985,0.0659321659362902,0.111803727419252,0.259493538581708,0.003720292946594,0.57425,0.0445,0.0063925,0.4865,0.0,0.647,0.2325,0.82525,0.9225,0.00013025,2.7,2.0,2.54455250972494,2.0,3.0
885,Learn Irish,37i9dQZF1DWW6K9D6JN1rY,https://open.spotify.com/playlist/37i9dQZF1DWW6K9D6JN1rY,0.484225352112676,0.643183098591549,0.17639014084507,0.746943661971831,0.665223943661972,0.0128374485915493,0.489,0.687,0.142,0.788,0.9,0.0,0.210008924788795,0.120032294447209,0.110937407261842,0.386130835511484,0.108115034662131,0.624,0.0962,0.6425,0.08095,0.0,0.718,0.249,0.9025,0.936,0.0,4.08450704225352,2.0,6.22608907024819,1.0,5.0
886,Learn Italian,37i9dQZF1DX0yHwYvqyUJQ,https://open.spotify.com/playlist/37i9dQZF1DX0yHwYvqyUJQ,0.24706,0.64498,0.055232,0.2642251,0.6088,1.95146e-05,0.2315,0.651,0.0478,0.2195,0.578,0.0,0.0708859975345247,0.0553811367076399,0.03229963217103,0.170576740039269,8.22718371910332e-05,0.61175,0.0322,0.1245,0.49775,0.0,0.693,0.072525,0.40025,0.77225,3.2375e-06,3.98,3.0,3.61528740632097,1.0,6.0
887,Learn Portuguese,37i9dQZF1DX2SgxzTVd6bU,https://open.spotify.com/playlist/37i9dQZF1DX2SgxzTVd6bU,0.341509433962264,0.625037735849057,0.0733037735849057,0.368307547169811,0.770207547169811,2.36922641509434e-05,0.335,0.616,0.0667,0.349,0.805,0.0,0.085670572687904,0.0589311731090244,0.0330268245420653,0.134667590540356,7.00318208070036e-05,0.561,0.0516,0.249,0.706,0.0,0.678,0.0972,0.461,0.875,1.43e-05,1.11320754716981,1.0,2.18086413147219,0.0,1.0
888,Learn Chinese,37i9dQZF1DX60lVXkfYly8,https://open.spotify.com/playlist/37i9dQZF1DX60lVXkfYly8,0.272814,0.62596,0.190645,0.605026,0.83459,0.0001378504,0.2615,0.64,0.154,0.6845,0.9135,0.0,0.122240779966706,0.0654317317144481,0.128591883884676,0.168310685245105,0.0006485649342192,0.599,0.0851,0.4505,0.8545,0.0,0.675,0.283,0.811,0.926,3.075e-05,3.7,3.0,3.97339637940626,1.0,5.0
889,Learn Russian,37i9dQZF1DWSsCx004HXRd,https://open.spotify.com/playlist/37i9dQZF1DWSsCx004HXRd,0.227732,0.63193,0.2913639,0.69445,0.7824,0.0001792321,0.215,0.636,0.356,0.8495,0.8955,1.35e-05,0.0817665324833054,0.0732087447169415,0.157394826124295,0.221582554103044,0.0005069532443392,0.604,0.165,0.39475,0.65925,2.0175e-06,0.66925,0.411,0.957,0.92925,6.435e-05,3.6,2.0,3.36950075731337,2.0,4.25
890,Top Arabic Hits - Yalla يلا,37i9dQZF1DX5cO1uP1XC1g,https://open.spotify.com/playlist/37i9dQZF1DX5cO1uP1XC1g,0.60113,0.68237,0.69408,0.303676,0.082057,0.0007321181,0.5995,0.701,0.7005,0.291,0.0626,0.0,0.199891367214466,0.128319255819777,0.136306300943015,0.0539243545266062,0.0038463349560513,0.598,0.583,0.126,0.0454,0.0,0.773,0.7965,0.43875,0.099625,2.48e-05,51.48,51.0,6.94346578962676,48.0,55.25
891,A Noam Chomsky Chronology,37i9dQZF1DX8d1cgbQqKFy,https://open.spotify.com/playlist/37i9dQZF1DX8d1cgbQqKFy,0.48159,0.57037,0.299491,0.9325,0.72163,0.0012835144,0.4755,0.567,0.2365,0.9825,0.735,0.0,0.127535544263178,0.0919170305495696,0.15874686418282,0.174733081000592,0.0044362903439785,0.4985,0.17125,0.91675,0.56675,0.0,0.639,0.468,0.986,0.904,0.00018925,1.96,2.0,1.34780030292535,1.0,2.0
