,names,description,url,id,image,public
842,This Is Langston Hughes,"The Harlem Renaissance comes alive once more as the <a href=""spotify:artist:1mNcebzTg5QlHEY4WYhLSm"">innovative poet</a> and his cohorts read and discuss his work.",https://open.spotify.com/playlist/37i9dQZF1DX7R9e00hBCQT,37i9dQZF1DX7R9e00hBCQT,https://i.scdn.co/image/ab67706f0000000389c42c012ffbf251376e6029,True
843,The Romantics,Emotional fervor and man's mystic relationship with nature are just a few of the prototypical themes featured in this playlist of Romantic poetry.,https://open.spotify.com/playlist/37i9dQZF1DWZDPloxGJ3JZ,37i9dQZF1DWZDPloxGJ3JZ,https://i.scdn.co/image/c3ea99e8cb01a16f76da2e73af0cf058cf2b964f,True
844,Poetry: In Their Own Voices,"Over 70 poems by women read by the authors themselves, featuring Rita Dove, Elizabeth Bishop, Gertrude Stein, and more.",https://open.spotify.com/playlist/37i9dQZF1DWWfysDOTP12D,37i9dQZF1DWWfysDOTP12D,https://i.scdn.co/image/ab67706f000000036259f56b5d90ff1bf0ac5557,True
845,The Beats,Readings from some of the best minds of the beat generation.,https://open.spotify.com/playlist/37i9dQZF1DXaUR9QvMCPsb,37i9dQZF1DXaUR9QvMCPsb,https://i.scdn.co/image/ab67706f0000000351fe7ffccc9e0ff26c18984a,True
846,Sylvia Plath,&quot;I think my poems come immediately out of the sensuous and emotional experiences I have...&quot; Hear the voice that penned the poems.,https://open.spotify.com/playlist/37i9dQZF1DX2G2VrXHSPQG,37i9dQZF1DX2G2VrXHSPQG,https://i.scdn.co/image/ab67706f00000003a131956168701e74391ff192,True
847,Edna St. Vincent Millay,"""My candle burns at both ends; It will not last the night; But ah, my foes, and oh, my friends — It gives a lovely light!""",https://open.spotify.com/playlist/37i9dQZF1DWU73wUKShGqj,37i9dQZF1DWU73wUKShGqj,https://i.scdn.co/image/ab67706f00000003d359446b1322fe742762dd4b,True
848,Modern Poetry,"Selections of modern and contemporary poetry, featuring readings from the poets themselves.",https://open.spotify.com/playlist/37i9dQZF1DX26cFbtLr0Wn,37i9dQZF1DX26cFbtLr0Wn,https://i.scdn.co/image/ecdc361cbd281dc1f8ec2788d6bf96d82e28ce50,True
849,The Victorians,"From brooding skepticism and ardent romance to utter whimsy and nonsense, explore the Victorian sensibility, as displayed in some of the era's best poetry.",https://open.spotify.com/playlist/37i9dQZF1DWZxkZk4wnQ5T,37i9dQZF1DWZxkZk4wnQ5T,https://i.scdn.co/image/1d8d1497c93cdb31a213570da6d1730da5f1c319,True
850,Action & Adventure,Tales of high action and grand adventures...,https://open.spotify.com/playlist/37i9dQZF1DXaIjTCDpbgLL,37i9dQZF1DXaIjTCDpbgLL,https://i.scdn.co/image/d07a526e430bed6be56d9577e1fbbb846fd6498e,True
851,The Adventures of Sherlock Holmes,"A chronology of Sir Arthur Conan Doyle's best Sherlock Holmes' adventures, followed by rare and vintage radio and audio adaptations.",https://open.spotify.com/playlist/37i9dQZF1DWY3FN0WeKCeB,37i9dQZF1DWY3FN0WeKCeB,https://i.scdn.co/image/ccdececbbec588610662e7f487fb9ced68af01bd,True
852,The Brontës,"Settle down with a nice cup of tea and enjoy the novels, stories, poems, and letters of Emily, Charlotte, Anne, and Patrick Branwell Brontë.",https://open.spotify.com/playlist/37i9dQZF1DX8uVDy7wwKj9,37i9dQZF1DX8uVDy7wwKj9,https://i.scdn.co/image/ab67706f00000003663547f5b1a5ab1fe8ce1694,True
853,Charles Dickens' Classics,Experience the beloved classics of Charles Dickens.,https://open.spotify.com/playlist/37i9dQZF1DX3pCvCNjYFEt,37i9dQZF1DX3pCvCNjYFEt,https://i.scdn.co/image/073320072ebe67e44956286a528e234f9cad37ef,True
854,The Selected D. H. Lawrence,"""...when genuine passion moves you, say what you've got to say, and say it hot."" Selected readings of D. H. Lawrence's poetry, novels, short stories, and letters.",https://open.spotify.com/playlist/37i9dQZF1DXdOlMB0hApiu,37i9dQZF1DXdOlMB0hApiu,https://i.scdn.co/image/ab67706f00000003b113391b7a593082a588cf55,True
855,The Essential Edgar Allan Poe,"The essential Poe listening experience, from vintage radio versions to contemporary readings.",https://open.spotify.com/playlist/37i9dQZF1DWVezbGpUvpz7,37i9dQZF1DWVezbGpUvpz7,https://i.scdn.co/image/ab67706f000000032b0aef2370a04206dad7232d,True
856,French Literature,"Flaubert, Hugo, Balzac, Dumas, Stendhal, Maupassant... audio versions of classic French novels and short stories.",https://open.spotify.com/playlist/37i9dQZF1DWWhtNzColB0d,37i9dQZF1DWWhtNzColB0d,https://i.scdn.co/image/aa664706b538b9b0fa48fda2de7d1c1309116dbf,True
857,Blake’s 7: The Audio Series,"A collection of Blake's 7 radio dramas, featuring the Audio Adventures and Early Years series. ",https://open.spotify.com/playlist/37i9dQZF1DWTKyGuxpLg8Z,37i9dQZF1DWTKyGuxpLg8Z,https://i.scdn.co/image/35628ff0b6fdbd575845afa5393d8f97d604c068,True
858,The H. P. Lovecraft Compendium,You might want to leave a light on when listening to these chilling performances of H. P. Lovecraft's horror fiction....,https://open.spotify.com/playlist/37i9dQZF1DX7QXVqVJ8y93,37i9dQZF1DX7QXVqVJ8y93,https://i.scdn.co/image/41ae21044513268531c910758453e99223412790,True
859,Irish Lit,"A collection of classic and contemporary Irish short stories, novels, plays, poetry, and historical artifacts in English and Irish.",https://open.spotify.com/playlist/37i9dQZF1DWV1duDvis8iF,37i9dQZF1DWV1duDvis8iF,https://i.scdn.co/image/d63683ae046df887f15c9dc6a965b7a865a95acb,True
860,Jane Austen,"A collection of all things Austen, including audiobooks, poetry, and cinematic scores.",https://open.spotify.com/playlist/37i9dQZF1DWWC5ySVGqQA1,37i9dQZF1DWWC5ySVGqQA1,https://i.scdn.co/image/ab67706f000000032ebd9c15e3059cbdaa9a16d1,True
861,La littérature française,Les plus grands romans et autres nouvelles de la littérature française.,https://open.spotify.com/playlist/37i9dQZF1DX8pbyATDkUwW,37i9dQZF1DX8pbyATDkUwW,https://i.scdn.co/image/ffca00aadf6ee7e1db068327713f6a4a39864d00,True
862,Vintage Radio Dramas,For your listening pleasure: relax with classic literature and the best of Hollywood and Broadway on the air. Updated regularly.,https://open.spotify.com/playlist/37i9dQZF1DWZ8QVh1ew4PD,37i9dQZF1DWZ8QVh1ew4PD,https://i.scdn.co/image/e3e28e4ddb90387d2f7d76e8c0786c593d37605b,True
863,Mythologies,"A collection of myths, fairy tales, and fables from across the globe.",https://open.spotify.com/playlist/37i9dQZF1DWVMdJ6HSmTWs,37i9dQZF1DWVMdJ6HSmTWs,https://i.scdn.co/image/e05731fda5c44842ec77bbfd76cd58844880a654,True
864,Radio Crime Dramas,"Danger, mystery, and tangled webs of intrigue lie ahead.... ",https://open.spotify.com/playlist/37i9dQZF1DXddisSfoYY5n,37i9dQZF1DXddisSfoYY5n,https://i.scdn.co/image/ab67706f00000003d48af19fa8d7062f67e3193d,True
865,Russian Lit,"Cozy up with Chekhov's classic short stories, or settle in for a longer listen with Tolstoy, Dostoyevsky, and other Russian greats.",https://open.spotify.com/playlist/37i9dQZF1DXd6ydjpSDa3z,37i9dQZF1DXd6ydjpSDa3z,https://i.scdn.co/image/e6d68c3687539c646ee30b9daf42da24eac831a6,True
866,Scary Stories,"A collection of classic horror and spooky stories, from Stoker to Hitchcock.",https://open.spotify.com/playlist/37i9dQZF1DX0RGhgSIsFBm,37i9dQZF1DX0RGhgSIsFBm,https://i.scdn.co/image/ab67706f00000003661e9edc65da096d59fd5df9,True
867,Science Fiction,"Verne, Huxley, Wells... a classic collection of science fiction.",https://open.spotify.com/playlist/37i9dQZF1DWVeoTQF8RBFh,37i9dQZF1DWVeoTQF8RBFh,https://i.scdn.co/image/483411639824644cdfa7f78ffc4539425213026b,True
868,Sci-Fi Radio Dramas,Classic science fiction performed for the airwaves.,https://open.spotify.com/playlist/37i9dQZF1DXb0DT3bG5Uc1,37i9dQZF1DXb0DT3bG5Uc1,https://i.scdn.co/image/b02dbb5ed0822559a2232b5b2b8062de5f7eb962,True
869,Shakespeare: The Comedies,Be not afeard... this playlist is full of sounds and sweet airs that give delight. These are Shakespeare's comedies.,https://open.spotify.com/playlist/37i9dQZF1DX7ZEwRWHSfUr,37i9dQZF1DX7ZEwRWHSfUr,https://i.scdn.co/image/c1301bce4d4eae8b6b8d06d48095cc3ad3f36a1a,True
870,Shakespeare: The Histories,"David Tennant, Sir Ian McKellen, and other inspired prophets of Shakespeare's histories await...",https://open.spotify.com/playlist/37i9dQZF1DXbozqSbDnSno,37i9dQZF1DXbozqSbDnSno,https://i.scdn.co/image/53fdf11d05aa527fba931793fcfcb53c4ec5ddff,True
871,Shakespeare: The Tragedies,"For never were there stories of more woe.... than those found in these masterful performances, adaptations, and readings of Shakespeare's Tragedies.",https://open.spotify.com/playlist/37i9dQZF1DX5lw1wrxWyPu,37i9dQZF1DX5lw1wrxWyPu,https://i.scdn.co/image/c88c2ab2c33d4a8daeaa8edf151e36ef7448085d,True
872,Stories for your Inner Child,Fairy tales and children's classics sure to satisfy your inner child...,https://open.spotify.com/playlist/5TQKebIP2y3YGxoklr72aV,5TQKebIP2y3YGxoklr72aV,https://i.scdn.co/image/ab67706c0000bebbfea0a2a4f8994307f0a783fd,True
873,Women's Lit,A selection of classic short stories and literature by women.,https://open.spotify.com/playlist/37i9dQZF1DX5nERjWj1zmg,37i9dQZF1DX5nERjWj1zmg,https://i.scdn.co/image/ab67706f00000003219f0cdd4b58ec9f3dbfd2ba,True
874,Learn Spanish,Learn Spanish with a collection of audio courses that will take you from beginner lessons to advanced conversations – featuring essential travel phrases and vocabulary!,https://open.spotify.com/playlist/37i9dQZF1DXc6li3e9oatQ,37i9dQZF1DXc6li3e9oatQ,https://i.scdn.co/image/ab67706f0000000393ad9f6961955061ecf22b05,True
875,How to Write...,Advice on writing everything from college compositions to mystery novels and children's books.,https://open.spotify.com/playlist/37i9dQZF1DX0IquWoRS2Rk,37i9dQZF1DX0IquWoRS2Rk,https://i.scdn.co/image/ab67706f0000000373e2166934f147b1163f5601,True
