names,description,url,id,image,public
Bullet for Hell,"Slipknot, Mudvayne, Hatebreed. Turn the volume all the way up.",https://open.spotify.com/playlist/1RKtKRcejWjN6ZOkghImIV,1RKtKRcejWjN6ZOkghImIV,https://mosaic.scdn.co/640/ab67616d0000b27337f7f56faf32a554e29b72eeab67616d0000b2736f68f14b79420ed933d989fbab67616d0000b2739dc5bf37cd26be098a6a59fcab67616d0000b2739dcf31d6b5eb82fa24de783a,True
A Sudden Rainstorm,Relax to the sound of a storm setting in.,https://open.spotify.com/playlist/37i9dQZF1DX9NmDLwNQnXE,37i9dQZF1DX9NmDLwNQnXE,https://i.scdn.co/image/ab67706f00000003a9667ea1b4d5c8b06ed73e00,True
Grime Shutdown,"Keeping it 140 - Welcome to Grime Shutdown. Cover: JME, Meridian Dan & President T",https://open.spotify.com/playlist/37i9dQZF1DWSOkubnsDCSS,37i9dQZF1DWSOkubnsDCSS,https://i.scdn.co/image/ab67706f000000038bb931458ae6ab02d718db80,True
Grand Hustle Gang Spotify Picks,Grand Hustle Gang top picks chosen by Spotify.,https://open.spotify.com/playlist/4C0S1zvtcMtk2notLxCL1J,4C0S1zvtcMtk2notLxCL1J,https://mosaic.scdn.co/640/ab67616d0000b27338accded280da7c2ca7ebdafab67616d0000b273b9d7e1b6dfc4211feffe8aa1ab67616d0000b273c445ea64cfdf0c98630fed73ab67616d0000b273cbc3bf3407cc078f63aa498a,True
MMG Spotify Picks,MMG top picks chosen by Spotify.,https://open.spotify.com/playlist/2nZndNnauO6SID8cjf4C9F,2nZndNnauO6SID8cjf4C9F,https://mosaic.scdn.co/640/ab67616d0000b2730cc553e8d2ddd0fcfc56ce2bab67616d0000b273a664c0463c94e1a3eba05977ab67616d0000b273b3ed0d541b9c8508d3b6f729ab67616d0000b273cee7e49a096a83a5a6b96c20,True
Shady Records Spotify Picks,Shady Records top picks chosen by Spotify.,https://open.spotify.com/playlist/3hR94iGaotWbCFv5eDe0gZ,3hR94iGaotWbCFv5eDe0gZ,https://mosaic.scdn.co/640/ab67616d0000b27360b9bcd1d55f68a39f1ea8b7ab67616d0000b273ad7a80377edb88c704bceed8ab67616d0000b273d5f3f507dcb0088a0b4d5d3aab67616d0000b273f10abcaa6c9425b278e91c83,True
Taylor Gang Spotify Picks,Taylor Gang top picks chosen by Spotify.,https://open.spotify.com/playlist/5VvCwhF9WqXKUaJLtJfeXn,5VvCwhF9WqXKUaJLtJfeXn,https://mosaic.scdn.co/640/ab67616d0000b27303801f54e0cb10f2b4789ad8ab67616d0000b2732f666b2f25309e02f29095bfab67616d0000b273396bcd4043a871d830c848a3ab67616d0000b273cfb814f9b46326d2ace27218,True
Avant-Jazz,"Avant-garde, experimental and free jazz. Cover: Alan Braufman",https://open.spotify.com/playlist/37i9dQZF1DX3rTk9UUrbYS,37i9dQZF1DX3rTk9UUrbYS,https://i.scdn.co/image/ab67706f000000035427c57d4648cdf2b079308d,True
Electro Swing,Bringing the roaring 20s into the 2020s,https://open.spotify.com/playlist/37i9dQZF1DX3bH0P2uDnWA,37i9dQZF1DX3bH0P2uDnWA,https://i.scdn.co/image/ab67706f000000032bf5bd14320190f08081dafe,True
Acid Jazz,"Jazz, hip-hop and funk in one flavor. Cover: Guru ",https://open.spotify.com/playlist/37i9dQZF1DWXHghfFFOaS6,37i9dQZF1DWXHghfFFOaS6,https://i.scdn.co/image/ab67706f0000000389d64fb77d20189825763aa9,True
