names,id,url,mean_valence,med_valence,sd_valence,quant1_valence,quant3_valence,mean_danceability,med_danceability,sd_danceability,quant1_danceability,quant3_danceability,mean_energy,med_energy,sd_energy,quant1_energy,quant3_energy,mean_acousticness,med_acousticness,sd_acousticness,quant1_acousticness,quant3_acousticness,mean_speechiness,med_speechiness,sd_speechiness,quant1_speechiness,quant3_speechiness,mean_instrumentalness,med_instrumentalness,sd_instrumentalness,quant1_instrumentalness,quant3_instrumentalness
Acoustic Love,37i9dQZF1DWSlwBojgQEcN,https://open.spotify.com/playlist/37i9dQZF1DWSlwBojgQEcN,0.36290407523510976,0.353,0.17512426374045323,0.198,0.498,0.5261692789968653,0.534,0.10931816784298803,0.431,0.592,0.34587554858934166,0.311,0.16653776829348035,0.208,0.466,0.6962978056426331,0.766,0.23769640517455348,0.598,0.877,0.04208808777429467,0.0358,0.02053862711002365,0.0308,0.0437,0.03205638520376175,0.000307,0.10086668692154312,2.38e-06,0.00568
Evening Acoustic,37i9dQZF1DXcWBRiUaG3o5,https://open.spotify.com/playlist/37i9dQZF1DXcWBRiUaG3o5,0.3172692883895131,0.266,0.15934951262414285,0.2045,0.42,0.5062921348314607,0.516,0.1108531375099564,0.418,0.579,0.26463707865168534,0.245,0.1345416083294858,0.166,0.317,0.8380674157303372,0.883,0.1485717819284729,0.797,0.935,0.03627265917602996,0.034,0.008832882518118932,0.0305,0.0397,0.08974820123595505,0.00342,0.21535822758593112,0.000238,0.04355
Throwback Thursday,37i9dQZF1DWWwaxRea1LWS,https://open.spotify.com/playlist/37i9dQZF1DWWwaxRea1LWS,0.6410461538461537,0.67,0.20305583535548574,0.515,0.775,0.6741230769230769,0.6745000000000001,0.11674626401303721,0.58575,0.77975,0.7226769230769231,0.791,0.18417754390908148,0.56,0.8714999999999999,0.13391585384615384,0.0408,0.20065615116748994,0.00564,0.187,0.09756384615384615,0.0516,0.08696866138220023,0.03565,0.132,0.0013291243076923077,0.0,0.010382216490304928,0.0,3.1025000000000004e-06
Happy Folk,37i9dQZF1DWSkMjlBZAZ07,https://open.spotify.com/playlist/37i9dQZF1DWSkMjlBZAZ07,0.5349455128205128,0.546,0.19799910742042753,0.376,0.701,0.5769102564102564,0.575,0.1095096566999686,0.516,0.641,0.6079326923076923,0.628,0.14726675477793566,0.507,0.704,0.36638653846153846,0.334,0.2741124125582894,0.092075,0.614,0.03947179487179487,0.0347,0.02367559231288939,0.0299,0.038325000000000005,0.08860942480769231,0.000363,0.20989091990501313,4.885e-06,0.0286
Run Wild,37i9dQZF1DX35oM5SPECmN,https://open.spotify.com/playlist/37i9dQZF1DX35oM5SPECmN,0.5215981308411216,0.508,0.21066877011250432,0.378,0.683,0.576196261682243,0.564,0.10918149934016268,0.523,0.655,0.6963691588785048,0.719,0.14685628752356736,0.595,0.81,0.2211173224299066,0.116,0.23019860047082508,0.0282,0.369,0.046856074766355144,0.03635,0.03502666235312776,0.0325,0.0456,0.06447599457943924,0.000328,0.18658696721973173,6.2225e-06,0.00689
Summer Acoustic,37i9dQZF1DWUNIrSzKgQbP,https://open.spotify.com/playlist/37i9dQZF1DWUNIrSzKgQbP,0.33516606334841625,0.333,0.1474815241968713,0.209,0.379,0.5518280542986426,0.57,0.1122916143971771,0.473,0.631,0.41893665158371046,0.406,0.160937072867884,0.272,0.518,0.610947963800905,0.653,0.2576112350350613,0.395,0.831,0.04331176470588235,0.0314,0.04078802127027475,0.0295,0.0364,0.03135512529411765,0.000327,0.12207333030813165,6.22e-06,0.00454
Sweet Winter Songs,62Tpw0jhT8kxF3KPbGciTk,https://open.spotify.com/playlist/62Tpw0jhT8kxF3KPbGciTk,0.31315803571428574,0.282,0.1657523389649674,0.169,0.41,0.49973214285714285,0.508,0.10845403499454657,0.39275000000000004,0.579,0.33560089285714284,0.306,0.15079319220489606,0.22575,0.415,0.7592321428571429,0.838,0.22277501700117067,0.6805,0.929,0.03553571428571429,0.0337,0.007650807948692548,0.030475,0.038900000000000004,0.09624437245535715,0.0018,0.19341675648656664,0.00017925,0.0861
Classical Essentials,37i9dQZF1DWWEJlAGA9gs0,https://open.spotify.com/playlist/37i9dQZF1DWWEJlAGA9gs0,0.11771641791044775,0.060950000000000004,0.12809018979182887,0.0383,0.153,0.24346119402985078,0.2245,0.12141439814436779,0.1625,0.333,0.09615813432835821,0.06765,0.08773243291517055,0.026175,0.13725,0.9261119402985074,0.9624999999999999,0.11471348161343593,0.9197500000000001,0.986,0.04396567164179104,0.042800000000000005,0.008130635507513044,0.0395,0.047625,0.7514106895522388,0.862,0.2602204423352597,0.75175,0.90525
Infinite Indie Folk,37i9dQZF1DX2taNm7KfjOX,https://open.spotify.com/playlist/37i9dQZF1DX2taNm7KfjOX,0.40094593837535014,0.377,0.18063550382825722,0.281,0.51,0.5390756302521008,0.55,0.1160898160373822,0.465,0.622,0.42317030812324935,0.413,0.16054612558937298,0.291,0.533,0.6507249859943978,0.699,0.2473556072067966,0.464,0.87,0.034372549019607845,0.0323,0.00859736224579209,0.0287,0.0394,0.06781645745098039,0.00564,0.1430184765506506,0.000608,0.0586
Deep Dark Indie,37i9dQZF1DWTtTyjgd08yp,https://open.spotify.com/playlist/37i9dQZF1DWTtTyjgd08yp,0.20430271739130432,0.162,0.1491748200349715,0.102,0.25,0.44437934782608696,0.48,0.1181496143643124,0.3545,0.52,0.3727206521739131,0.369,0.15988955206884073,0.261,0.453,0.6508179347826086,0.735,0.2989116574612027,0.413,0.93225,0.03907771739130435,0.0342,0.022352508525536385,0.0303,0.039,0.13448893255434782,0.0446,0.2156311694383614,0.0015425,0.158
